sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase
g4dn.xlarge@us-east-1b,gpu,g4dn.xlarge,0.0044821130952380946,0.2889279170837113,0.016062589285714284,1.0354335927451725
g4dn.xlarge@us-east-1c,gpu,g4dn.xlarge,0.004742410714285715,0.3188881528463367,0.015381785714285714,1.034298699421171
g4dn.xlarge@us-west-2a,gpu,g4dn.xlarge,0.005578095238095238,0.34694082053646397,0.016005386904761904,0.9954871383009655
g4dn.xlarge@us-west-2b,gpu,g4dn.xlarge,0.003563601190476189,0.23642099170882747,0.014864821428571429,0.9861810106893241
g4dn.xlarge@us-west-2c,gpu,g4dn.xlarge,0.003710119047619049,0.3072023853060167,0.011551011904761906,0.9564378836086902
m5.2xlarge@ap-southeast-2a,general,m5.2xlarge,0.0032584821428571433,0.3791475069938925,0.00872389880952381,1.0150874977628968
m5.2xlarge@ap-southeast-2b,general,m5.2xlarge,0.0026781845238095245,0.3181791395193152,0.010566458333333334,1.2553379314896709
m5.2xlarge@ap-southeast-2c,general,m5.2xlarge,0.0027386904761904757,0.2678169790415509,0.008570029761904761,0.8380645790692426
m5.2xlarge@eu-west-1a,general,m5.2xlarge,0.0020612202380952387,0.31432433407192223,0.006227142857142857,0.9496037810840263
m5.2xlarge@eu-west-1b,general,m5.2xlarge,0.002849970238095238,0.2822038329826247,0.006532886904761905,0.6468859570259823
m5.2xlarge@us-east-1a,general,m5.2xlarge,0.0026321726190476195,0.30047708862057715,0.008756309523809524,0.9995812484847212
m5.2xlarge@us-east-1b,general,m5.2xlarge,0.0021184523809523815,0.3509379249086846,0.005896696428571427,0.9768331009304965
m5.2xlarge@us-east-1c,general,m5.2xlarge,0.002341458333333333,0.2801915843302127,0.008771964285714284,1.0497007509859573
m5.2xlarge@us-west-2a,general,m5.2xlarge,0.0021090476190476185,0.26935053619751315,0.005702232142857144,0.7282430568802574
m5.2xlarge@us-west-2b,general,m5.2xlarge,0.0030963690476190483,0.37291897604794266,0.008304434523809526,1.0001654104046733
m5.2xlarge@us-west-2c,general,m5.2xlarge,0.0019499107142857144,0.25426082311215636,0.0053875892857142855,0.7025208263844784
m5.large@ap-southeast-2a,general,m5.large,0.0005450000000000001,0.24301667674075253,0.0020540476190476185,0.9159042683453347
m5.large@ap-southeast-2b,general,m5.large,0.0006695535714285715,0.2979538305107972,0.0020319047619047617,0.9042051792075897
m5.large@ap-southeast-2c,general,m5.large,0.0006848809523809522,0.3096611256959705,0.002531577380952381,1.144623892439812
m5.large@eu-west-1a,general,m5.large,0.0005745238095238093,0.2783950232707319,0.002270654761904762,1.1002833560618126
m5.large@eu-west-1b,general,m5.large,0.0004789880952380953,0.25440876124716255,0.0018392261904761904,0.9768828524637846
m5.large@us-east-1a,general,m5.large,0.0006003869047619047,0.3139150270058526,0.0016511904761904767,0.8633324591426517
