sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase,gbm_mae,gbm_mase,gbm_vs_naive_pct
c5.large@ap-southeast-2a,compute,c5.large,0.0005310119047619047,0.30975034790925743,0.001490654761904762,0.8695300933406048,0.00046275718172335327,0.2699359407028485,12.853708631853655
c5.large@ap-southeast-2b,compute,c5.large,0.0008811904761904764,0.42976748506864754,0.0025860119047619048,1.2612299641183051,0.0007909742556160513,0.38576791939439464,10.237993148137948
c5.large@ap-southeast-2c,compute,c5.large,0.000751785714285714,0.37474987003923727,0.002048214285714286,1.0209931138598702,0.0006276344012817717,0.3128629685866964,16.514188903137228
c5.large@eu-west-1a,compute,c5.large,0.0005200892857142857,0.30153696713802103,0.0015113095238095241,0.8762258764674513,0.0004857346705764326,0.2816188747250328,6.605522567278211
c5.large@eu-west-1b,compute,c5.large,0.0006097321428571429,0.3194591425369612,0.002266190476190476,1.1873332820488296,0.000499590217314884,0.2617520895247606,18.06398544550152
c5.large@us-east-1a,compute,c5.large,0.0004320535714285715,0.24881986107086412,0.0014094047619047619,0.811676885091399,0.0004631636096812853,0.26673614717018934,-7.200504823938725
c5.large@us-east-1b,compute,c5.large,0.0004357738095238095,0.32334896660243756,0.0012632440476190475,0.9373409976396982,0.00041195388282872826,0.3056743186243573,5.466121683886971
c5.large@us-east-1c,compute,c5.large,0.000555625,0.4241304292511641,0.0016232440476190478,1.239086064694828,0.0006071984688724418,0.4634984877273671,-9.28206413902215
c5.large@us-west-2a,compute,c5.large,0.00045812500000000004,0.3192780647209596,0.0013754464285714288,0.9585808978807997,0.0004642823453610619,0.323569263216345,-1.344031729563322
c5.large@us-west-2b,compute,c5.large,0.00038705357142857145,0.2906328831795111,0.0012830357142857144,0.963412809986061,0.0004482114838413184,0.33655546787018575,-15.800890865577077
c5.large@us-west-2c,compute,c5.large,0.0004106547619047618,0.25856162928930965,0.001274345238095238,0.8023693175032368,0.00046195177483211177,0.2908599013917683,-12.491517860262057
c5.xlarge@ap-southeast-2a,compute,c5.xlarge,0.0009790773809523808,0.2700890701980352,0.0027587797619047618,0.761039193908468,0.0007508670979892024,0.20713479882553248,23.30870750391464
c5.xlarge@ap-southeast-2b,compute,c5.xlarge,0.001396755952380952,0.29913747240064653,0.004710208333333334,1.008765928587576,0.0011969658316390147,0.2563492447023959,14.30386750107412
c5.xlarge@ap-southeast-2c,compute,c5.xlarge,0.001638630952380952,0.4426313117583953,0.004917083333333333,1.3282155098414679,0.0012977781616745603,0.35055925755506123,20.80107117536919
c5.xlarge@eu-west-1a,compute,c5.xlarge,0.0016224702380952382,0.47188914700839396,0.004402410714285714,1.280424002836442,0.0012800032472776981,0.3722839571066398,21.107751795779784
c5.xlarge@eu-west-1b,compute,c5.xlarge,0.0009822321428571428,0.26417661659258296,0.002910595238095238,0.782820240471722,0.0007975347045817235,0.21450124739219406,18.80384791095988
c5.xlarge@us-east-1a,compute,c5.xlarge,0.0008592261904761905,0.27210267982025454,0.002597172619047619,0.8224814809322658,0.0006674568075752624,0.2113724977410748,22.318847473055705
c5.xlarge@us-east-1b,compute,c5.xlarge,0.0013175297619047624,0.3118618675032641,0.003644970238095238,0.8627715732226219,0.0010583910168933523,0.2505232205152257,19.668530647593975
c5.xlarge@us-east-1c,compute,c5.xlarge,0.0009548809523809526,0.27243911982566077,0.0030079761904761907,0.8582120983212778,0.000772066652825964,0.2202799823560973,19.145245184664063
c5.xlarge@us-west-2a,compute,c5.xlarge,0.001389077380952381,0.32864261229039204,0.004104047619047619,0.9709789742334091,0.0011822854530147123,0.2797175917480471,14.886998433153364
c5.xlarge@us-west-2b,compute,c5.xlarge,0.0013325595238095243,0.4505653450906151,0.004038333333333334,1.3654422330963363,0.001125591322939214,0.38058520748195945,15.531628957078713
c5.xlarge@us-west-2c,compute,c5.xlarge,0.0008618452380952382,0.30846592934619743,0.00282125,1.0097630812363918,0.0007053988527319114,0.2524716771059604,18.15249170594577
